rowid,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,body_mass_kg,weight_category
317,Chinstrap,Dream,49.0,19.5,210.0,4950.0,male,2008,4.95,Heavy
318,Chinstrap,Dream,46.2,17.5,187.0,4650.0,female,2008,4.65,Heavy
319,Chinstrap,Dream,50.9,19.1,196.0,4550.0,male,2008,4.55,Heavy
320,Chinstrap,Dream,45.5,17.0,196.0,4500.0,female,2008,4.5,Heavy
321,Chinstrap,Dream,50.9,17.9,196.0,4675.0,female,2009,4.675,Heavy
322,Chinstrap,Dream,50.8,18.5,201.0,5450.0,male,2009,5.45,Heavy
323,Chinstrap,Dream,50.1,17.9,190.0,4400.0,female,2009,4.4,Heavy
324,Chinstrap,Dream,49.0,19.6,212.0,5300.0,male,2009,5.3,Heavy
325,Chinstrap,Dream,51.5,18.7,187.0,4250.0,male,2009,4.25,Heavy
326,Chinstrap,Dream,49.8,17.3,198.0,4675.0,female,2009,4.675,Heavy
327,Chinstrap,Dream,48.1,16.4,199.0,4325.0,female,2009,4.325,Heavy
328,Chinstrap,Dream,51.4,19.0,201.0,4950.0,male,2009,4.95,Heavy
329,Chinstrap,Dream,45.7,17.3,193.0,4600.0,female,2009,4.6,Heavy
330,Chinstrap,Dream,50.7,19.7,203.0,5050.0,male,2009,5.05,Heavy
331,Chinstrap,Dream,42.5,17.3,187.0,4350.0,female,2009,4.35,Heavy
332,Chinstrap,Dream,52.2,18.8,197.0,4450.0,male,2009,4.45,Heavy
333,Chinstrap,Dream,45.2,16.6,191.0,4250.0,female,2009,4.25,Heavy
334,Chinstrap,Dream,49.3,19.9,203.0,5050.0,male,2009,5.05,Heavy
335,Chinstrap,Dream,50.2,18.8,202.0,4800.0,male,2009,4.8,Heavy
336,Chinstrap,Dream,45.6,19.4,194.0,4525.0,female,2009,4.525,Heavy
337,Chinstrap,Dream,51.9,19.5,206.0,4950.0,male,2009,4.95,Heavy
338,Chinstrap,Dream,46.8,16.5,189.0,4650.0,female,2009,4.65,Heavy
339,Chinstrap,Dream,45.7,17.0,195.0,4650.0,female,2009,4.65,Heavy
340,Chinstrap,Dream,55.8,19.8,207.0,5000.0,male,2009,5.0,Heavy
341,Chinstrap,Dream,43.5,18.1,202.0,4400.0,female,2009,4.4,Heavy
342,Chinstrap,Dream,49.6,18.2,193.0,4775.0,male,2009,4.775,Heavy
343,Chinstrap,Dream,50.8,19.0,210.0,5100.0,male,2009,5.1,Heavy
344,Chinstrap,Dream,50.2,18.7,198.0,4775.0,female,2009,4.775,Heavy
