rowid,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
168,169,Gentoo,Biscoe,42.0,13.5,210,4150,female,2007
169,170,Gentoo,Biscoe,49.2,15.2,221,6300,male,2007
170,171,Gentoo,Biscoe,46.2,14.5,209,4800,female,2007
171,172,Gentoo,Biscoe,48.7,15.1,222,5350,male,2007
172,173,Gentoo,Biscoe,50.2,14.3,218,5700,male,2007
173,174,Gentoo,Biscoe,45.1,14.5,215,5000,female,2007
174,175,Gentoo,Biscoe,46.5,14.5,213,4400,female,2007
175,176,Gentoo,Biscoe,46.3,15.8,215,5050,male,2007
176,177,Gentoo,Biscoe,42.9,13.1,215,5000,female,2007
177,178,Gentoo,Biscoe,46.1,15.1,215,5100,male,2007
178,179,Gentoo,Biscoe,44.5,14.3,216,4100,,2007
179,180,Gentoo,Biscoe,47.8,15.0,215,5650,male,2007
180,181,Gentoo,Biscoe,48.2,14.3,210,4600,female,2007
181,182,Gentoo,Biscoe,50.0,15.3,220,5550,male,2007
182,183,Gentoo,Biscoe,47.3,15.3,222,5250,male,2007
183,184,Gentoo,Biscoe,42.8,14.2,209,4700,female,2007
184,185,Gentoo,Biscoe,45.1,14.5,207,5050,female,2007
185,186,Gentoo,Biscoe,59.6,17.0,230,6050,male,2007
186,187,Gentoo,Biscoe,49.1,14.8,220,5150,female,2008
187,188,Gentoo,Biscoe,48.4,16.3,220,5400,male,2008
188,189,Gentoo,Biscoe,42.6,13.7,213,4950,female,2008
189,190,Gentoo,Biscoe,44.4,17.3,219,5250,male,2008
190,191,Gentoo,Biscoe,44.0,13.6,208,4350,female,2008
191,192,Gentoo,Biscoe,48.7,15.7,208,5350,male,2008
193,194,Gentoo,Biscoe,49.6,16.0,225,5700,male,2008
194,195,Gentoo,Biscoe,45.3,13.7,210,4300,female,2008
195,196,Gentoo,Biscoe,49.6,15.0,216,4750,male,2008
196,197,Gentoo,Biscoe,50.5,15.9,222,5550,male,2008
197,198,Gentoo,Biscoe,43.6,13.9,217,4900,female,2008
198,199,Gentoo,Biscoe,45.5,13.9,210,4200,female,2008
199,200,Gentoo,Biscoe,50.5,15.9,225,5400,male,2008
200,201,Gentoo,Biscoe,44.9,13.3,213.0,5100.0,female,2008
201,202,Gentoo,Biscoe,45.2,15.8,215.0,5300.0,male,2008
202,203,Gentoo,Biscoe,46.6,14.2,210.0,4850.0,female,2008
203,204,Gentoo,Biscoe,48.5,14.1,220.0,5300.0,male,2008
204,205,Gentoo,Biscoe,45.1,14.4,210.0,4400.0,female,2008
205,206,Gentoo,Biscoe,50.1,15.0,225.0,5000.0,male,2008
206,207,Gentoo,Biscoe,46.5,14.4,217.0,4900.0,female,2008
207,208,Gentoo,Biscoe,45.0,15.4,220.0,5050.0,male,2008
208,209,Gentoo,Biscoe,43.8,13.9,208.0,4300.0,female,2008
209,210,Gentoo,Biscoe,45.5,15.0,220.0,5000.0,male,2008
210,211,Gentoo,Biscoe,43.2,14.5,208.0,4450.0,female,2008
211,212,Gentoo,Biscoe,50.4,15.3,224.0,5550.0,male,2008
212,213,Gentoo,Biscoe,45.3,13.8,208.0,4200.0,female,2008
213,214,Gentoo,Biscoe,46.2,14.9,221.0,5300.0,male,2008
214,215,Gentoo,Biscoe,45.7,13.9,214.0,4400.0,female,2008
215,216,Gentoo,Biscoe,54.3,15.7,231.0,5650.0,male,2008
216,217,Gentoo,Biscoe,45.8,14.2,219.0,4700.0,female,2008
217,218,Gentoo,Biscoe,49.8,16.8,230.0,5700.0,male,2008
218,219,Gentoo,Biscoe,46.2,14.4,214.0,4650.0,,2008
219,220,Gentoo,Biscoe,49.5,16.2,229.0,5800.0,male,2008
220,221,Gentoo,Biscoe,43.5,14.2,220.0,4700.0,female,2008
221,222,Gentoo,Biscoe,50.7,15.0,223.0,5550.0,male,2008
222,223,Gentoo,Biscoe,47.7,15.0,216.0,4750.0,female,2008
223,224,Gentoo,Biscoe,46.4,15.6,221.0,5000.0,male,2008
224,225,Gentoo,Biscoe,48.2,15.6,221.0,5100.0,male,2008
225,226,Gentoo,Biscoe,46.5,14.8,217.0,5200.0,female,2008
226,227,Gentoo,Biscoe,46.4,15.0,216.0,4700.0,female,2008
227,228,Gentoo,Biscoe,48.6,16.0,230.0,5800.0,male,2008
228,229,Gentoo,Biscoe,47.5,14.2,209.0,4600.0,female,2008
229,230,Gentoo,Biscoe,51.1,16.3,220.0,6000.0,male,2008
230,231,Gentoo,Biscoe,45.2,13.8,215.0,4750.0,female,2008
231,232,Gentoo,Biscoe,45.2,16.4,223.0,5950.0,male,2008
232,233,Gentoo,Biscoe,49.1,14.5,212.0,4625.0,female,2009
233,234,Gentoo,Biscoe,52.5,15.6,221.0,5450.0,male,2009
234,235,Gentoo,Biscoe,47.4,14.6,212.0,4725.0,female,2009
235,236,Gentoo,Biscoe,50.0,15.9,224.0,5350.0,male,2009
236,237,Gentoo,Biscoe,44.9,13.8,212.0,4750.0,female,2009
237,238,Gentoo,Biscoe,50.8,17.3,228.0,5600.0,male,2009
238,239,Gentoo,Biscoe,43.4,14.4,218.0,4600.0,female,2009
239,240,Gentoo,Biscoe,51.3,14.2,218.0,5300.0,male,2009
240,241,Gentoo,Biscoe,47.5,14.0,212.0,4875.0,female,2009
241,242,Gentoo,Biscoe,52.1,17.0,230.0,5550.0,male,2009
242,243,Gentoo,Biscoe,47.5,15.0,218.0,4950.0,female,2009
243,244,Gentoo,Biscoe,52.2,17.1,228.0,5400.0,male,2009
244,245,Gentoo,Biscoe,45.5,14.5,212.0,4750.0,female,2009
245,246,Gentoo,Biscoe,49.5,16.1,224.0,5650.0,male,2009
246,247,Gentoo,Biscoe,44.5,14.7,214.0,4850.0,female,2009
247,248,Gentoo,Biscoe,50.8,15.7,226.0,5200.0,male,2009
248,249,Gentoo,Biscoe,49.4,15.8,216.0,4925.0,male,2009
249,250,Gentoo,Biscoe,46.9,14.6,222.0,4875.0,female,2009
250,251,Gentoo,Biscoe,48.4,14.4,203.0,4625.0,female,2009
251,252,Gentoo,Biscoe,51.1,16.5,225.0,5250.0,male,2009
252,253,Gentoo,Biscoe,48.5,15.0,219.0,4850.0,female,2009
253,254,Gentoo,Biscoe,55.9,17.0,228.0,5600.0,male,2009
254,255,Gentoo,Biscoe,47.2,15.5,215.0,4975.0,female,2009
255,256,Gentoo,Biscoe,49.1,15.0,228.0,5500.0,male,2009
256,257,Gentoo,Biscoe,47.3,13.8,216.0,4725.0,,2009
257,258,Gentoo,Biscoe,46.8,16.1,215.0,5500.0,male,2009
258,259,Gentoo,Biscoe,41.7,14.7,210.0,4700.0,female,2009
259,260,Gentoo,Biscoe,53.4,15.8,219.0,5500.0,male,2009
260,261,Gentoo,Biscoe,43.3,14.0,208.0,4575.0,female,2009
261,262,Gentoo,Biscoe,48.1,15.1,209.0,5500.0,male,2009
262,263,Gentoo,Biscoe,50.5,15.2,216.0,5000.0,female,2009
263,264,Gentoo,Biscoe,49.8,15.9,229.0,5950.0,male,2009
264,265,Gentoo,Biscoe,43.5,15.2,213.0,4650.0,female,2009
265,266,Gentoo,Biscoe,51.5,16.3,230.0,5500.0,male,2009
266,267,Gentoo,Biscoe,46.2,14.1,217.0,4375.0,female,2009
267,268,Gentoo,Biscoe,55.1,16.0,230.0,5850.0,male,2009
268,269,Gentoo,Biscoe,44.5,15.7,217.0,4875.0,,2009
269,270,Gentoo,Biscoe,48.8,16.2,222.0,6000.0,male,2009
270,271,Gentoo,Biscoe,47.2,13.7,214.0,4925.0,female,2009
272,273,Gentoo,Biscoe,46.8,14.3,215.0,4850.0,female,2009
273,274,Gentoo,Biscoe,50.4,15.7,222.0,5750.0,male,2009
274,275,Gentoo,Biscoe,45.2,14.8,212.0,5200.0,female,2009
275,276,Gentoo,Biscoe,49.9,16.1,213.0,5400.0,male,2009
284,285,Chinstrap,Dream,46.0,18.9,195.0,4150.0,female,2007
289,290,Chinstrap,Dream,52.0,18.1,201.0,4050.0,male,2007
291,292,Chinstrap,Dream,50.5,19.6,201.0,4050.0,male,2007
295,296,Chinstrap,Dream,49.2,18.2,195.0,4400.0,male,2007
301,302,Chinstrap,Dream,52.0,19.0,197,4150,male,2007
305,306,Chinstrap,Dream,52.8,20.0,205,4550,male,2008
307,308,Chinstrap,Dream,54.2,20.8,201,4300,male,2008
309,310,Chinstrap,Dream,51.0,18.8,203,4100,male,2008
313,314,Chinstrap,Dream,52.0,20.7,210,4800,male,2008
315,316,Chinstrap,Dream,53.5,19.9,205,4500,male,2008
321,322,Chinstrap,Dream,50.8,18.5,201,4450,male,2009
323,324,Chinstrap,Dream,49.0,19.6,212,4300,male,2009
329,330,Chinstrap,Dream,50.7,19.7,203,4050,male,2009
333,334,Chinstrap,Dream,49.3,19.9,203,4050,male,2009
342,343,Chinstrap,Dream,50.8,19.0,210,4100,male,2009
